,0,1,2,3,4,5,6,7,8,9,10
15,2 : 7,真主已封閉他們的心和耳，他們的眼上有翳膜；他們將受重大的刑罰。,,安拉封閉他們的心和聽官了；他們的視官上有一種遮幔。他們應遭大的刑罰。,,安拉已經封閉了他們的心和聽覺，並在他們的眼上蒙上了一層幕幔，他們將受到重大的刑罰。,,"安拉封住
[注1]
他們的心和耳，他們的眼上有薄膜
[注2]
，他們應受巨刑
[注3]
。",,安拉已封閉了他們的心[故他們不能辨真偽]和聽覺[如聾子一樣]，他們的眼上有層膜[如瞎子一樣]，他們必受重大的刑罰。,
16,2 : 8,有些人說：「我們已信真主和末日了。」其實，他們絕不是信士。,,有的人自稱：（歸信安拉和末日了 ）他們本不是歸信的。,,有些人說：“我們信仰安拉和末日。”可是他們根本就不是有信仰的人。,,"人們中有的說：“我們信仰安拉和末日
[注]
了。”但他們並不是信士。",,有些人[偽信者]說：“我們已信仰安拉和末日。”其實，他們並非真信士。,
17,2 : 9,他們想欺瞞真主和信士，其實，他們只是自欺，卻不覺悟。,,他們欺騙安拉和眾穆民，他們只是自欺而不覺悟。,,他們企圖欺騙安拉和有信仰的人們，但是他們只是自欺而不自覺罷了。,,"他們欺騙
[注]
安拉和那些歸信者們。他們並未感覺到，那只是欺騙自己。",,他們[妄圖]欺騙安拉和信士們，其實，他們只是自欺而未感覺到。,
18,2 : 10,他們的心裏有病，故真主增加他們的心病；他們將為說謊而遭受重大的刑罰。,,他們的心裏有病，安拉複增給他們病症了。他們因著說謊應遭痛刑。,,他們的心裏有病， 安拉將加重他們的病。他們將會受到痛苦的懲罰，因為他們撒謊。,,"他們心裏有病
[注1]
，安拉增加他們的疾病
[注2]
，由於他們說謊
[注3]
，他們應受痛刑
[注4]
。",,"他們的心裏有病，而安拉使他們加重了病。他們將為常說謊言
[注]
而受痛苦的刑罰。",
19,2 : 11,有人對他們說：「你們不要在地方上作惡。」他們就說：「我們只是調解的人。」,,有時候，人對他們說：（你們不要在地面上造惡，）他們就說：（我們只是調解的。）,,當(有人)對他們說“不要在地上為非作歹”時， 他們就說：“我們只不過是和事佬罷了。”,,"如有人對他們說：“你們莫在地上為非幹歹
[注1]
！”他們說：“我們只是些幹好而行善
[注2]
的人們呀！”",,當有人對他們說：“你們不要在大地上作惡”時，他們就說：“我們只是調解者。”,
20,2 : 12,真的，他們確是作惡者，但他們不覺悟。,,須知他們均是造惡的；但是自不覺悟。,,實際上，他們確是為非作歹的人，不過他們不自覺罷了。,,"須知
[注]
，他們確是為非幹歹者，但他們卻沒感覺到。",,須知，他們確是作惡者，但他們未感覺到。,
21,2 : 13,有人對他們說：「你們應當象眾人那樣信道。」他們就說：「我們能象愚人那樣輕信嗎？」真的，他們確是愚人，但他們不知道。,,有時候，人對他們說：（你們歸信，就像眾人歸信了吧：）他們就說：我們豈可歸信，就像無識的人歸信嗎?）須知他們就是無識的人，只是自不知道。,,當(有人)對他們說“(你們要)象別人一樣地信仰”時，他們就說：“要我們象傻瓜們一樣地信仰嗎?”其實他們確實是一群傻瓜，可是他們不知道。,,"如有人對他們說：“你們要像人們
[注1]
歸信那樣歸信吧！”他們卻說：“我們能像愚人
[注2]
們之歸信而歸信嗎？”你應知道，他們的確是愚人，但他們卻不知道
[注3]
。",,"當有人對他們[偽信者]說：“你們應該像人們[穆聖的追隨者]所信仰的那樣信仰”時，他們就說：“難道要我們像愚人們所信仰的那樣信仰嗎？”須知，他們確是愚人
[注]
，但他們不知道。",
22,2 : 14,他們遇見信士們就說：「我們已信道了。」他們回去見了自己的惡魔，就說：「我們確是你們的同黨，我們不過是愚弄他們罷了。」,,有時候，他們遇見歸信的人了，就說：（我們已然歸信了。）他們獨遇到同類的惡魔時候，就說：我們和你們同類，我們是嘲弄的。,,當他們遇見(有)信仰的人們， 他們就說：“我們信仰。”可是當他們離開,,"如果他們碰到歸信者們，他們便說：“我們歸信了。”如果他們與他們的魔鬼
[注1]
們相聚時
[注2]
，他們卻說：“我們是偕同你們
[注3]
的。我們只是嘲笑
[注4]
者。”",,當他們遇見信士們時，他們就說：“我們信仰了。”但當他們私下與他們的惡魔們[多神教徒與偽信者等]相聚時，他們就說：“我們確是你們的同道，我們只是嘲弄[信士]而已。”,
23,2 : 15,真主將用他們的愚弄還報他們，將任隨他們彷徨於悖逆之中。,,安拉將以其嘲弄還諸其人。放任他們在迷誤中徘徊著。,,安拉將還報他們的嘲弄，並將任由他們在頑抗中盲目徘徊。,,"安拉嘲笑他們
[注1]
，並寬貸
[注2]
他們，讓他們徘徊
[注3]
於他們的過為
[注4]
之中。",,安拉將以嘲弄還報他們，將讓他們在他們的悖逆中更加盲從。,
24,2 : 16,這等人，以正道換取迷誤，所以他們的交易並未獲利，他們不是遵循正道的。,,這般人是以正道換取迷誤的，他們的營業未獲利，他們不是得指導的。,,這些人以錯誤換取引導，他們的交易是無利可圖的，他們也得不到引導。,,"這些人就是用正道換取
[注1]
迷歧的人們，他們的生意並未賺錢
[注2]
，他們也不是獲得正道
[注3]
者。",,這些人以正道換取迷誤，他們的交易[即放棄正道，遵行迷誤]並未獲益。他們不是遵行正道者。,
25,2 : 17,他們譬如燃火的人，當火光照亮了他們的四周的時候，真主把他們的火光拿去，讓他們在重重的黑暗中，甚麼也看不見。,,他們的情形如同是燃火的人，在火光照耀四周的時候，安拉就奪去他們的光，把他們棄在重重黑暗裏，他們看不見。,,他們好比一個人點燃了火，但是當火光將他們四周照亮時，安拉就熄滅了他們的光亮，把他們棄置在黑暗當中，所以他們(有目)難睹。,,"他們
[注1]
的比方
[注2]
，就像那取火的人，每當他
[注3]
照亮其四周時，安拉便取走他們的光，把他們丟在黑暗中一無所見。",,"他們的情況猶如燃火之人
[注]
的情況，當火光照亮他的周圍時，安拉拿走了他們的火光，把他們扔在重重黑暗中，[所以]他們看不見[任何正道]。",
26,2 : 18,（他們）是聾的，是啞的，是瞎的，所以他們執迷不悟。,,他們是聾的、啞的、瞎的，所以不能轉回。,,(他們是)聾子、啞吧和瞎子，所以他們(迷途)難返。,,"[他們]
[注1]
是聾子，是啞巴，是瞎子，他們不能返回
[注2]
。",,[他們是]聾子、啞巴、瞎子，因而他們無法返回[正道]。,
27,2 : 19,或者如遭遇傾盆大雨者，雨裏有重重黑暗，又有雷和電，他們恐怕震死，故用手指塞住耳朵，以避疾雷。真主是周知不信道的人們的。,,或是如同遇天雨的人，其中含有重重黑暗和雷電；他們因為怕死，畏懼雷嗚，置指於耳中。安拉盡知眾不信的人。,,或者(另作一個比喻)好象是由天而降的暴雨，(在它們的當中有)重重的雷電。他們把手指塞進他們的耳朵當中，那是因為(震耳欲聾的)雷聲，和(他們心中)怕死。安拉定(永遠)包圍著不信的人們的。,,"或像遭受來自天上之大雨的人們，其中有重重黑暗
[注1]
，有迅雷，有閃電，他們因霹靂而怕死亡，把手指
[注2]
放進耳朵裏，安拉是洞悉昧者們的。",,[他們的情況]猶如從天而降的暴雨，裏面是重重黑暗、雷電交加。由於怕雷聲震死，他們就把手指塞進耳朵，但安拉是周知不信仰者的。,
28,2 : 20,電光幾乎奪了他們的視覺，每逢電光為他們而照耀的時候，他們在電光中前進；黑暗的時候，他們就站住。假如真主意欲，他必褫奪他們的聽覺和視覺。真主對於萬事確是全能的。,,閃電幾至奪去他們的眼。那電向他們發光的時候，他們就乘光邁步；及至遮黑的時侯，他們就站住。設若安拉意欲……了，他便奪去他們的聽官，視官。安拉是全能於萬事的。,,閃電幾乎剝奪了他們的視力， 每當它照著他們時，他們就在其中舉步前進但是當它暗下來時， 他們便 靜立不動。倘若安拉願意，他就會剝奪他們的視聽(官能)。安拉是全能於一切事物的。,,"閃電幾乎奪走
[注1]
他們的視力，每當它
[注2]
為他們照亮時，他們便在其中行走。一旦黑暗了，他們便止步不前
[注3]
。如果安拉要時，必定奪去他們的聽覺和視覺
[注4]
，的確安拉對萬物是大能的。",,閃電幾乎奪走了他們的視覺。每當電光為他們照亮時，他們就在其中行走；每當黑暗籠罩他們時，他們就停止不前。假如安拉意欲，他必奪走他們的聽覺和視覺。安拉對萬事確是萬能的。,
29,2 : 21,眾人啊！你們的主，創造了你們，和你們以前的人，你們當崇拜他，以便你們敬畏。,,眾人哪！你們當敬拜養主，那造化你們和你們眾前人的主，冀使你們敬慎。,,世人啊! 你們應當崇拜你們的主! 他造化了你們和你們以前的人，以便你們能夠敬畏。,,"哎人們哪
[注1]
，你們崇拜
[注2]
那造化你們和你們以前的人們的養主吧！但願
[注3]
你們敬畏。",,人們啊！你們當崇拜你們的主[安拉]，是他創造了你們和你們的前人，以便你們敬畏。,
30,2 : 22,他以大地為你們的席，以天空為你們的幕，並且從雲中降下雨水，而借雨水生許多果實，做你們的給養，所以你們不要明知故犯地給真主樹立匹敵。,,那真主，他為你們以地怍鋪毯，以天作覆蓋，並自上空降水，而為供給你們，用牠發出種種果實。你們不得明知著而為安拉舉同等的。,,他使地作你們的休息的地方，(使)作你們的遮蓋，並從天空降下雨水， 和以它產生果品作你們的糧食。因此， 當你們知道(這項真理)時，就不要為安拉設立對等的(偽神)。,,"那位主宰，他把大地造化成地毯
[注1]
，把天空造化成建築物
[注2]
，他從天上降下了水，為賞賜你們借它
[注3]
而取出果品，所以你們不要給安拉樹立夥伴
[注4]
，你們是知道的
[注5]
。",,"是他為你們而把大地造如床鋪[一樣可延伸]，天造如篷，並從天空降下雨水，借此而生產出水果，以作為你們的給養，所以，你們不要故意給安拉設置[與安拉同等的]崇拜物件
[注]
。",
31,2 : 23,如果你們懷疑我所降示給我的僕人的經典，那末，你們試擬作一章，並舍真主而祈禱你們的見證，如果你們是誠實的。,,如果你們對於我降給自己僕人的有所懷疑了，你們就舉出和牠相似的一章來。如果你們是實言的，你們就拋開安拉而喚來一般助己的。,,如果你們對於我降給我的僕人(穆聖)的(經典)懷疑的話，那麼，(你們)就照樣作出一章(經文)，並在安拉二外尋求你們的見證者口巴，如果你們是誠實的。,,"如果你們對我降給我的奴僕
[注1]
的是在懷疑中時，你們可拿來像它的一章
[注2]
，你們可在安拉以外請你們的證人們
[注3]
來，如果你們是忠實者時。",,假如你們懷疑我所降給我的僕人[穆聖]的經典[《古蘭經》]，那麼，你們就作出同樣的一章，並舍安拉而呼求你們的見證者[支持者]吧！假如你們是誠實者。,
32,2 : 24,如果你們不能作──你們絕不能作──那末，你們當防備火獄，那是用人和石做燃料的，已為不信道的人們預備好了。,,若是你們未能實作；你們決對不能實作——你們就堤防其燃料是人與石的火獄吧，那火獄已為不信的人們備下了。,,倘若你們不能夠——你們是一定不能夠的——那麼就提防火(獄)吧!它的燃料是人和石頭，它是為不信的人預備下的。,,"如果你們沒做，你們絕不能做時，你們要提防那人
[注1]
與石頭
[注2]
是其燃料的火獄！是為隱昧者們準備的。",,假如你們不能作，其實你們絕對做不到，那麼，你們當警惕以人和石作燃料的火獄，那是為不信仰者預備的。,
33,2 : 25,你當向信道而行善的人報喜；他們將享有許多下臨諸河的樂園，每當他們得以園裏的一種水果為給養的時候，他們都說：「這是我們以前所受賜的。」其實，他們所受賜的是類似的。他們在樂園裏將享有純潔的配偶，他們將永居其中。,,你給眾歸信並作善舉的人報喜信吧，他們必獲諸河流於其下的天園。不論何時，他們由那裏蒙賜果實的給養了，他們就說：“（這是從前賜過我們的。）” 曾把那相似的賜給他們了。 他們在天園中獲得清潔的配偶，永居在那裏。,,把喜訊報給那些有信仰和作善事的人吧。他們一定會獲得下面有諸河流過的樂園。每當他們在其中被賜食果品時，他們就說：“這是我們以前(在地上)被賜食過的。”他們確是被賜給相似的。他們在其中有純潔的伴侶，他們也永遠居住在其中。,,"你給那些歸信而幹善功的人們報喜
[注1]
，他們享受河渠
[注2]
在其下
[注3]
流淌的天堂，每當他們從它上
[注4]
得到作為食物恩賜的果品時，他們都說：“這是以前曾賜給過我們的。”這是相似的賞賜，他們在其中享受潔淨
[注5]
的配偶，他們在其中是永久的。",,你當向信仰並行善者報喜，他們將獲得諸河流過的樂園。每當他們從樂園裏受賜一種水果作給養時，他們就說：“這種給養就是我們以前受賜過的。”其實，他們所受賜的是相似的[形同味不同]。他們在樂園裏有純潔的妻子[陪伴]，他們將永居其中。,
34,2 : 26,真主的確不嫌以蚊子或更小的事物設任何譬喻；信道者，都知道那是從他們的主降示的真理；不信道者，卻說：「真主設這個譬喻的宗旨是甚麼？」他以譬喻使許多人入迷途，也以譬喻使許多人上正路；但除悖逆者外，他不以譬喻使人入迷途。,,安拉不恥於發一個比喻——蚊子或比牠更小的。在歸信的人們，皆知道那是出自養主的真理。不信的人們就說：（安拉用這個比喻作什麼?）他用牠使多的人迷誤；並用牠引導多的人。他惟用牠使一般作惡的人迷誤。,,安拉不恥於舉出任何比喻，即使象蜉蝣一樣(小)的或是更微不足道的(比喻)， 有信仰的人都知道那是來自他們的主的真理。可是那些不信的人卻說：“安拉舉這個比喻的用意是什麼呢?”他(主)以它使許多人彷徨歧途，也以它使許多人獲得引導。除了離經叛道的人之外，他(主)不以它令人迷誤。,,"安拉確實不恥於
[注1]
用蚊蟲及其以上的
[注2]
打比喻，至於那些歸信者們，他們知道那確是來自他們養主的真理
[注3]
；至於那些昧者們，他們卻說：安拉以此打比要什麼
[注4]
！他
[注5]
用此使許多人迷歧，也以此使許多人得正道。因此迷歧的，只是為非幹歹者們。",,安拉絕不輕視以蚊子或比蚊子更小的東西設比喻。至於信士們，他們知道那是從他們的主[安拉]降示的真理。至於不信仰者，他們說：“安拉設這個比喻的旨意是什麼呢？”他[安拉]以此使許多人迷誤，也以此引導許多人遵行正道，但他只以此使悖逆者迷誤。,
35,2 : 27,他們與真主締約之後，並斷絕真主命人聯絡的，且在地方上作惡；這等人，確是虧折的。,,那般人在結約以後，破壞安拉的約，並斷絕安拉命以接合的，更在地上造惡。這般人均是傷折的。,,那些人在與安拉締約之後，又背信毀約，並且斷絕了安拉所曾命令(他們)結合的和在地上為非作歹，這些人，他們才是(蒙受)損失的人。,,"那些人他們在與安拉相約後破壞了信約
[注1]
，他們斷絕了安拉命令他們應該聯繫的
[注2]
，他們
[注3]
在地上還為非幹歹，這些人，他們是虧本者
[注4]
。",,"他們向安拉許約後又毀約
[注1]
，斷絕了安拉所命令聯合的
[注2]
，並在大地上作惡。這些人確是損失者。",
36,2 : 28,你們怎麼不信真主呢？你們原是死的，而他以生命賦予你們，然後使你們死亡，然後使你們復活；然後你們要被召歸於他。,,你們怎麼不信安拉呢?你們原是死的，而後他教你們生，又教你們死，而後又教你們生，然後你們均被歸返於他。,,你們怎麼能夠不信安拉呢?你們原是沒有生命的， 他賜給你們生命；然後使你們死亡，然後又使你們(複)生，最後，你們終將回到他(那裏)。,,"你們
[注1]
怎能隱昧安拉！你們原是死的
[注2]
，他使你們活了
[注3]
，繼而他使你們死了，繼而使你們活了
[注4]
，繼而你們將歸至他
[注5]
。",,[人們啊！]你們怎麼不信仰安拉呢？你們原是死的，是他賜予你們生命，然後又使你們死亡，然後[復活日]又將你們復活，最後你們都將歸到他那裏去。,
37,2 : 29,他已為你們創造了大地上的一切事物，複經營諸天，完成了七層天。他對於萬物是全知的。,,他那真主，為你們造化地面上一切所有的，他且曾傾向造天而使其成為整齊的七天。他是深知萬事的。,,是他為你們在地上造化了萬物，然後，他又轉而(造)天，並使它們成為七重(協調的)天。他盡知萬事萬物。,,"他是那位主宰，他為你們造化了地裏的一切，繼而他奔向天，把它
[注]
造成七層。他對萬物是深知的。",,"他為你們創造了大地上的一切
[注]
，然後轉而造天，造成了七個天。他對萬事萬物是全知的。",
38,2 : 30,當時，你的主對眾天神說：「我必定在大地上設置一個代理人。」他們說：「我們贊你超絕，我們贊你清淨，你還要在大地上設置作惡和流血者嗎？」他說：「我知道你們所不知道的。」,,昔時，你的養主對眾天使說：（我必欲在地上造一代位的。）他們說：（有我們以贊你稱道清淨頌揚聖潔著，你豈可在地上造化作惡流血的人呢?（主說：（我實知道你們不知道的。）,,那時候，你們的主曾對天仙們說：我將在地上設置一個代位者(替天行道的人)。”他們說：“難道你要在那裏安置一個為非作歹的和流血的(人)嗎?而我們卻在讚頌你的崇高和讚美你的聖潔。”他(主)說：“我知道你們所不知道的。”,,"當時
[注1]
，你的養主對眾天仙說：“我將在地上設一位代理人
[注2]
。”他們說：“你在地上要安置那為非幹歹、並流血
[注3]
的人嗎？而我們贊你崇高
[注4]
、贊你清淨
[注5]
！”他
[注6]
說：“我確是知道你們所不知道的
[注7]
。”",,當時，你的主對天使們說：“我將在大地上安置人類繁衍生息。”他們說：“我們讚美頌揚你，讚頌你超絕，難道你還要在大地上安置作惡者和製造流血者嗎？”他[安拉]說：“我的確知道你們所不知道的。”,
39,2 : 31,他將萬物的名稱，都教授阿丹，然後以萬物昭示眾天神，說：「你們把這些事物的名稱告訴我吧，如果你們是誠實的。」,,他把一切名稱統教給阿丹了，他又把牠們現給眾天使，說：如果你們是說實話的，你們就把這一切的名稱宣告給我。）,,他(主)教導亞當萬物的名稱， 然後他(主)把它們放在天仙們的面前，說道：“如果你們是誠實的，告訴我這些東西的名稱。”,,"我把全部名字
[注1]
教給阿丹
[注2]
，繼而把它們展示給眾天仙。他說
[注3]
：“把這些的名字告訴我吧！如果你們是誠實者時。",,"他[安拉]把萬物的名稱教授阿丹
[注]
，然後，他把這些事物展示在天使們面前。他[安拉]說：“你們告訴我這些事物的名稱吧！假如你們是誠實者。”",
40,2 : 32,他們說：「贊你超絕，除了你所教授我們的知識外，我們毫無知識，你確是全知的，確是至睿的。」,,他們說：（頌你清淨：除卻你所教給我們的，在我們並無知識。 你實是深知的，明哲的。）,,他們說：“讚美你!除了你教。給我們的之外，我們什麼都不‘知道。你確實是全知的、睿智的。”,,他們說：“贊你崇高，我們只有你所教給我們的知識，你確是深知的，奧妙的。”,,他們說：“讚美你超絕！除了你所教授我們的外，我們毫無知識。你確是全知的，最睿智的。”,
41,2 : 33,他說：「阿丹啊！你把這些事物的名稱告訴他們吧。」當他把那些事物的名稱告訴他們的時候，真主說：「難道我沒有對你們說過嗎？我的確知道天地的幽玄，我的確知道你們所表白的，和你們所隱諱的。」,,真主呼阿丹說：（你把這萬物的名稱宣告給他們吧，）及至他把萬物的名稱宣告他們的時候，真主就說：（我豈未對你們說過嗎?我知道天地的隱秘，我知道你們公開的和隱匿的。）,,他(主)說：“亞當啊， 把它們的名稱告訴他們。”當他(亞當)告訴他們(萬物的名稱)時，安拉說：“我不曾告訴過你們嗎?我知道諸天和大地的秘密，並且知道你們表露(在外)和隱藏(在內)的。”,,"他說
[注1]
：“哎阿丹啊！把它們的名字告訴它們。”當他
[注2]
把它們的名字告訴它們時，他說
[注3]
：“我不是對你們說過，我知道天與地的未見
[注4]
。我知道你們所表現的，和你們所隱藏的
[注5]
。”",,他[安拉]說：“阿丹啊！你把這些事物的名稱告訴他們[天使]吧！”當他[阿丹]把那些事物的名稱告訴他們時，他[安拉]說：“難道我沒有對你們說過嗎？我的確知道天地間的一切未見之物，我的確知道你們所公開的和隱藏的。”,
42,2 : 34,當時，我對眾天神說：「你們向阿丹叩頭吧！」他們就叩頭，惟有易卜劣廝不肯，他自大，他原是不信道的。,,昔時，我告訴眾天使向阿丹下拜；他們遂就下拜了；惟有以蔔裏嘶拒絕，高傲，他本屬於逆徒。,,那時候，我(主)對天仙們說：“(你們)向亞當叩頭。”他們就叩頭了，但是依怖厲廝卻沒有，他拒絕了。他是傲慢的，和不信的。,,"當時，我
[注1]
對眾天仙說：“你們為阿丹叩頭
[注2]
吧！”除伊布里斯
[注3]
外，他們都叩拜了，他不肯，他高傲，他原是昧者",,當時，我[安拉]對天使們說：“你們當服從阿丹。”於是他們都服從了，唯伊怖里斯例外。他[伊怖里斯]拒絕服從，他傲慢，他原來就不信仰。,
43,2 : 35,我說：「阿丹啊！你和你的妻子同住樂園吧！你們倆可以任意吃園裏所有豐富的食物，你們倆不要臨近這棵樹；否則，就要變成不義的人。」,,我呼阿丹說：（你和你的妻居園林吧！你倆由那裏隨意多食，不要接近這樹，以免成為背義的。）,,我說：“亞當啊! 你就和你的妻居住在這個樂園中， 並隨意在這裏取食豐富的(食品)吧。不過， 不要接近這一棵樹，以免你們成為不義的人。”,,"我說
[注1]
：你和你的妻
[注2]
居住天堂吧！你二人從它上
[注3]
隨意地豐富地食用吧，但不要接近
[注4]
這棵樹
[注5]
！否則你二人將成為行虧者
[注6]
。",,我[安拉]說：“阿丹啊！你和你的妻子住在樂園吧！你倆可隨意吃樂園裏的豐富食物，但你倆不要接近這棵樹，以免成為不義者。”,
44,2 : 36,然後，惡魔使他們倆為那棵樹而犯罪，遂將他們倆人從所居的樂園中誘出。我說：「你們互相仇視下去吧。大地上有你們暫時的住處和享受。」,,但是惡魔誘他倆失足了，使他倆出離原有的地位。我說：（你們下去吧！你們彼此一個是一個的仇敵，你們在地上獲一個定處，並享受到一個時期。）,,但是撒旦誘使他倆失落了(樂園)，並且使他倆失去了原有的(幸福)情況。我說：“你們下去吧! 你們將相互為敵。在地上有你們的住處，你們將在那裏生活一段時間。”,,"後來魔鬼使他二人因它而犯了罪
[注1]
。於是把他二人從所在的地方趕了出去。我說
[注2]
：“你們互為仇敵地下去吧
[注3]
！你們在地上有一定的住處
[注4]
，和到某一時刻的享受
[注5]
。”",,隨後，惡魔用那棵樹引誘他倆失足，並把他倆從所居的樂園裏誘出。我[安拉]說：“你們[從樂園]下去吧！你們將互相敵視。大地上有你們的居所和暫時的生活資料。”,
45,2 : 37,然後，阿丹奉到從主降示的幾件誡命，主就恕宥了他。主確是至宥的，確是至慈的。,,而後，阿丹接受養主的幾句話，主隨就允他悔罪了，主實是允許悔罪的，特慈的。,,後來，亞當獲得了他的主的一些(啟示的)話，於是他(主)就對他回心轉意了(接受了他的懺悔，恕饒了他)。因為他是常恕的，和大慈的。,,"於是阿丹接到了來自其養主的幾句話
[注1]
。他便允准了
[注2]
他的懺悔，他確是允准改悔的，特慈的。",,然後，阿丹從他的主[安拉]那裏奉到了一些[祈禱的]言辭：[他倆說：“我們的主啊！我們已使自己受損。假如你不寬恕我們，不慈憫我們，我們必成了損失者。”（見7:23）]於是他的主[安拉]便寬恕了他[即接受他的悔罪]。他[安拉]確是接受悔過的，特慈的。,
46,2 : 38,我說：「你們都從這裏下去吧！我的引導如果到達你們，那末，誰遵守我的引導，誰在將來沒有恐懼，也不懮愁。,,我說：（你們一同從這裏下去吧！若是我的指示達至你們了，那從我指示的人，在他們無所懼憂。,,我說：“你們一‘起從這裏下去。將來一定會有我的指導降給你們。”凡是遵從我的指導的人。他們就會無憂無慮。,,"我說：“你們都從它上
[注1]
下去吧！要是我的正道來至你們，凡跟隨我的正道的
[注2]
，則他沒有恐懼，也不發愁
[注3]
。",,我說：“你們都從樂園下去吧！正道將從我這裏降臨你們。誰遵行我的正道，誰就沒有恐懼，也不憂愁。”,
47,2 : 39,不信道而且否認我的跡象的人，是火獄的居民，他們將永居其中。」,,隱昧，並不信我表徵的人，均是永居火獄的。）,,“但是那些不信而且違背我的跡象的人，他們將是火(獄)的伴侶。他們將居住在其中。”,,那些隱昧和不信我的跡象的，這些人是火獄之徒，他們永居其中。”,,凡不信仰並否認我的跡象者，這些人是火獄的犯人，他們將永居其中。,
48,2 : 40,以色列的後裔啊！你們當銘記我所賜你們的恩惠，你們當履行對我的約言，我就履行對你們的約言；你們應當只畏懼我。,,以斯拉衣來的子孫哪！你們當記念我對你們施過的恩典，你們當全我的約，我就全你們的約。你們要懼怕我。,,以色列的子孫們啊! 你們要記住我賜給你們的恩典，要實踐你們同你的約。我也將實踐(我)同你們的約。你們只應當畏懼我。,,"哎以色列
[注1]
的子孫啊！要記住我賜給你們的恩典
[注2]
，要信守和我的約定
[注3]
！則我就信守和你們的約定
[注4]
。你們要懼怕我
[注5]
！",,以色列的後裔啊！你們當牢記我所施予你們的恩惠。你們當履行你們對我的諾言，我也將履行我對你們的許諾。你們只能畏懼我。,
